preprocessing,feature_type,classifier,params,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,f1_weighted_mean,f1_weighted_std,params_str
psd_scaler,psd,knn,{'n_neighbors': 7},0.7403019071180966,0.14260052283019917,0.6220630731987215,0.13074874118969526,0.7308847247907895,0.14995217855873894,{'n_neighbors': 7}
psd_scaler,psd,knn,{'n_neighbors': 9},0.7438980411258904,0.14481087051816524,0.6265546924804689,0.12514943698723194,0.7336704003632936,0.15256242689990349,{'n_neighbors': 9}
psd_scaler,psd,logreg,"{'C': 0.1, 'max_iter': 1000, 'multi_class': 'multinomial'}",0.7562461091593778,0.12136691812553928,0.6332778391817031,0.12175679720243764,0.7509835924449494,0.11590139756614302,"{'C': 0.1, 'max_iter': 1000, 'multi_class': 'multinomial'}"
psd_scaler,psd,logreg,"{'C': 1.0, 'max_iter': 1000, 'multi_class': 'multinomial'}",0.7535471226042253,0.11417683209040701,0.6316189590619956,0.11374994558211617,0.7488752702323348,0.10761975176364907,"{'C': 1.0, 'max_iter': 1000, 'multi_class': 'multinomial'}"
psd_scaler,psd,logreg,"{'C': 10.0, 'max_iter': 1000, 'multi_class': 'multinomial'}",0.7519472104990644,0.11436887105239012,0.6294407794574994,0.11361412812159845,0.7470439728051026,0.10805449273433312,"{'C': 10.0, 'max_iter': 1000, 'multi_class': 'multinomial'}"
psd_scaler,psd,rf,"{'n_estimators': 100, 'max_depth': None, 'n_jobs': -1}",0.7799371831110299,0.10430211039686367,0.648620329892771,0.09099160852523036,0.7676242236668612,0.09755048354939841,"{'n_estimators': 100, 'max_depth': None, 'n_jobs': -1}"
psd_scaler,psd,rf,"{'n_estimators': 100, 'max_depth': 10, 'n_jobs': -1}",0.7648504238832917,0.10555186686862784,0.6319774326687202,0.09223575138363822,0.7526029646363398,0.09899049097269713,"{'n_estimators': 100, 'max_depth': 10, 'n_jobs': -1}"
psd_scaler,psd,rf,"{'n_estimators': 100, 'max_depth': 20, 'n_jobs': -1}",0.7793999357265543,0.1055714764996735,0.6501470500832334,0.0933858090615301,0.7672560910630373,0.09994613185213366,"{'n_estimators': 100, 'max_depth': 20, 'n_jobs': -1}"
psd_scaler,psd,rf,"{'n_estimators': 200, 'max_depth': None, 'n_jobs': -1}",0.7810070937514145,0.1050932544050666,0.6536021448958578,0.09400577498962978,0.7695464019970738,0.09849482743498851,"{'n_estimators': 200, 'max_depth': None, 'n_jobs': -1}"
psd_scaler,psd,rf,"{'n_estimators': 200, 'max_depth': 10, 'n_jobs': -1}",0.7664868470283638,0.10373670243540083,0.6340637730059285,0.09123480717077925,0.7543600351769767,0.0967260329598014,"{'n_estimators': 200, 'max_depth': 10, 'n_jobs': -1}"
psd_scaler,psd,rf,"{'n_estimators': 200, 'max_depth': 20, 'n_jobs': -1}",0.7808877947238476,0.10502128461634619,0.6537867544195233,0.09203570453008506,0.7690085808884278,0.09864975356739496,"{'n_estimators': 200, 'max_depth': 20, 'n_jobs': -1}"
